recipe_id,user_id,cost,taste,easeOfPrep,review
1,2,5,2,4,drive innovative synergies
2,2,0,0,1,repurpose bleeding-edge interfaces
3,2,2,1,0,iterate sticky convergence
4,2,3,3,3,brand cross-platform convergence
5,2,3,4,4,scale vertical solutions
6,2,3,4,4,target sexy partnerships
7,2,1,3,2,envisioneer global convergence
8,2,5,5,3,exploit visionary infrastructures
9,2,5,1,5,reintermediate world-class experiences
10,2,1,0,0,architect bricks-and-clicks systems
11,2,2,4,0,drive world-class content
12,2,0,5,4,matrix holistic communities
13,2,3,4,3,incentivize bricks-and-clicks architectures
14,2,2,3,2,embrace cutting-edge methodologies
15,2,1,0,1,maximize killer users
16,2,2,0,1,implement front-end e-services
17,2,0,4,5,facilitate extensible mindshare
18,2,4,2,4,recontextualize real-time portals
19,2,4,3,4,target web-enabled infomediaries
20,2,5,3,1,matrix collaborative partnerships
21,2,2,3,0,grow transparent infrastructures
22,2,2,3,1,engage granular channels
23,2,1,0,5,deliver global technologies
24,2,4,3,1,morph wireless deliverables
25,2,1,0,0,scale bricks-and-clicks portals
26,2,1,1,2,reintermediate synergistic platforms
27,2,3,4,4,synergize 24/365 relationships
28,2,0,2,5,aggregate synergistic partnerships
29,2,2,4,4,redefine value-added mindshare
30,2,2,1,4,target e-business architectures
31,2,4,5,5,generate mission-critical interfaces
32,2,5,1,3,streamline one-to-one infrastructures
33,2,4,0,2,optimize bleeding-edge niches
34,2,1,4,1,benchmark real-time e-markets
35,2,4,5,3,synergize sticky e-tailers
36,2,0,5,4,orchestrate clicks-and-mortar experiences
37,2,1,2,4,embrace cross-media e-services
38,2,0,3,5,drive holistic bandwidth
39,2,4,5,3,enhance synergistic content
40,2,4,3,1,deploy enterprise platforms
41,2,4,3,2,architect vertical schemas
42,2,0,3,5,extend rich initiatives
43,2,5,1,3,productize proactive paradigms
44,2,5,2,4,reinvent integrated ROI
45,2,2,2,5,drive value-added action-items
46,2,2,2,3,redefine visionary partnerships
47,2,5,3,4,visualize plug-and-play communities
48,2,4,0,2,embrace interactive initiatives
49,2,2,1,0,transition front-end functionalities
50,2,4,2,3,reinvent revolutionary relationships
51,2,3,1,3,reintermediate cross-platform action-items
52,2,1,0,0,maximize next-generation users
53,2,3,1,5,strategize clicks-and-mortar platforms
54,2,4,1,1,monetize B2C mindshare
55,2,4,3,1,enhance enterprise synergies
56,2,1,0,1,productize sexy technologies
57,2,3,0,1,productize extensible schemas
58,2,0,3,2,reinvent enterprise web-readiness
59,2,2,0,4,optimize back-end infomediaries
60,2,2,5,5,innovate world-class schemas
61,2,0,1,4,whiteboard wireless infomediaries
62,2,3,3,1,redefine sticky action-items
63,2,1,4,3,engineer wireless relationships
64,2,4,0,0,drive magnetic infomediaries
65,2,4,1,1,incubate seamless schemas
66,2,3,3,1,facilitate transparent users
67,2,5,4,4,reintermediate back-end e-tailers
68,2,5,3,5,utilize global networks
69,2,3,1,0,extend cross-media vortals
70,2,0,1,5,incubate next-generation convergence
71,2,1,1,1,matrix end-to-end niches
72,2,5,0,1,maximize B2B markets
73,2,4,0,5,aggregate seamless eyeballs
74,2,1,2,3,synergize impactful systems
75,2,2,1,0,generate collaborative solutions
76,2,0,0,0,aggregate end-to-end web services
77,2,0,4,0,deliver dot-com mindshare
78,2,1,5,2,deliver B2C niches
79,2,2,3,3,transition bricks-and-clicks models
80,2,4,1,2,utilize killer architectures
1,3,1,4,3,evolve world-class portals
2,3,5,4,2,strategize granular relationships
3,3,2,0,4,seize granular technologies
4,3,3,5,4,deploy ubiquitous web-readiness
5,3,5,2,3,iterate turn-key functionalities
6,3,5,3,1,reinvent value-added partnerships
7,3,5,4,2,harness cross-platform partnerships
8,3,2,5,0,cultivate 24/365 platforms
9,3,0,5,3,evolve user-centric solutions
10,3,3,3,4,monetize distributed channels
11,3,3,0,3,mesh customized eyeballs
12,3,3,3,3,revolutionize granular vortals
13,3,0,2,0,disintermediate clicks-and-mortar models
14,3,1,2,3,enable dynamic methodologies
15,3,5,1,3,redefine virtual action-items
16,3,4,0,3,morph back-end interfaces
17,3,5,0,5,scale virtual systems
18,3,4,2,1,optimize proactive convergence
19,3,2,4,0,transition out-of-the-box markets
20,3,3,4,1,embrace interactive experiences
21,3,4,0,5,productize best-of-breed e-services
22,3,3,1,3,maximize innovative web-readiness
23,3,5,2,3,enable innovative e-markets
24,3,3,5,0,innovate interactive synergies
25,3,1,2,5,revolutionize magnetic vortals
26,3,3,0,3,monetize integrated functionalities
27,3,5,1,1,envisioneer compelling methodologies
28,3,1,5,0,visualize leading-edge action-items
29,3,2,1,3,syndicate compelling paradigms
30,3,0,3,1,drive strategic solutions
31,3,1,1,3,whiteboard interactive e-markets
32,3,3,3,5,mesh leading-edge platforms
33,3,0,3,1,morph magnetic methodologies
34,3,5,3,4,benchmark real-time eyeballs
35,3,5,4,3,cultivate open-source web services
36,3,3,5,1,benchmark enterprise networks
37,3,1,2,5,aggregate clicks-and-mortar platforms
38,3,0,3,3,generate sexy architectures
39,3,0,5,4,redefine cutting-edge architectures
40,3,2,0,3,whiteboard next-generation eyeballs
41,3,1,1,4,monetize ubiquitous partnerships
42,3,2,1,1,syndicate mission-critical solutions
43,3,0,4,1,disintermediate cross-platform interfaces
44,3,1,3,1,redefine rich e-business
45,3,2,0,4,streamline seamless metrics
46,3,4,4,4,implement value-added e-tailers
47,3,4,4,5,cultivate frictionless vortals
48,3,0,3,3,productize vertical systems
49,3,2,3,1,transform global vortals
50,3,3,0,1,orchestrate e-business functionalities
51,3,4,4,3,generate plug-and-play communities
52,3,5,1,4,enhance one-to-one niches
53,3,3,1,2,drive virtual architectures
54,3,5,1,0,harness enterprise interfaces
55,3,3,4,2,iterate rich experiences
56,3,4,1,0,leverage 24/365 niches
57,3,5,3,4,deliver dot-com paradigms
58,3,2,4,3,streamline one-to-one action-items
59,3,3,5,1,target frictionless functionalities
60,3,3,0,5,streamline front-end bandwidth
61,3,5,2,1,drive wireless mindshare
62,3,0,1,1,engineer dynamic mindshare
63,3,4,2,2,synthesize back-end deliverables
64,3,3,5,5,utilize holistic convergence
65,3,4,1,0,facilitate intuitive mindshare
66,3,0,0,0,whiteboard enterprise e-services
67,3,5,2,5,integrate killer users
68,3,5,2,0,reinvent distributed methodologies
69,3,0,3,3,benchmark global e-services
70,3,1,4,4,facilitate collaborative content
71,3,1,5,0,productize extensible e-business
72,3,0,0,2,cultivate rich experiences
73,3,2,1,1,monetize viral channels
74,3,0,0,3,revolutionize cross-media interfaces
75,3,2,3,0,whiteboard proactive infomediaries
76,3,1,3,4,aggregate visionary web services
77,3,3,4,4,integrate granular eyeballs
78,3,4,1,0,integrate 24/7 technologies
79,3,1,4,1,embrace customized channels
80,3,1,2,3,synthesize leading-edge ROI
1,4,3,2,1,architect out-of-the-box eyeballs
2,4,3,2,1,seize virtual deliverables
3,4,3,3,1,optimize killer networks
4,4,3,3,2,leverage sticky deliverables
5,4,0,4,4,unleash mission-critical schemas
6,4,4,3,2,transition dot-com action-items
7,4,2,4,5,redefine vertical niches
8,4,2,5,3,target frictionless synergies
9,4,1,5,0,disintermediate world-class vortals
10,4,4,0,3,harness global functionalities
11,4,3,4,3,e-enable robust vortals
12,4,3,1,1,engage global technologies
13,4,4,0,4,iterate open-source platforms
14,4,3,4,0,leverage user-centric synergies
15,4,1,0,1,extend intuitive web services
16,4,5,4,1,repurpose mission-critical infomediaries
17,4,0,0,3,integrate proactive infomediaries
18,4,3,5,5,transform next-generation methodologies
19,4,1,5,0,synthesize revolutionary action-items
20,4,4,1,1,aggregate end-to-end users
21,4,0,1,1,embrace dynamic synergies
22,4,5,3,5,strategize robust bandwidth
23,4,3,1,1,envisioneer holistic initiatives
24,4,1,2,4,enhance enterprise e-commerce
25,4,1,1,4,generate global action-items
26,4,2,3,4,e-enable innovative niches
27,4,5,1,1,exploit visionary architectures
28,4,3,0,4,transform customized eyeballs
29,4,5,5,2,integrate sexy interfaces
30,4,1,1,0,reinvent B2B users
31,4,3,1,5,unleash next-generation communities
32,4,1,3,1,productize out-of-the-box partnerships
33,4,4,3,4,maximize B2B solutions
34,4,3,3,4,visualize out-of-the-box mindshare
35,4,2,1,4,innovate dynamic solutions
